image,description
processed_images_english/76cc29d533e6fdd8e8ea03ba48408569_nobg_nobg.png,straight jeans with large frayed and wide-open rips on both legs. High-waisted. light blue color.
processed_images_english/988a28f4970362bf4507125f5a10588a_nobg_nobg.png,palazzo jeans with frayed rips on both legs. Tight high waist. faded blue or strong light blue color.
processed_images_english/5f5177e1521ae677c379ca0957e5bc51_nobg_nobg.png,straight light blue jeans with symmetrical frayed rips on both legs. Tight high waist. light blue color.
processed_images_english/c09323cd74d2c53266a119e67f30e37f_nobg_nobg.png,palazzo jeans with frayed rips on both legs. High waisted. faded blue color
processed_images_english/93363a048fcc17d689024a65fd2a356e_nobg_nobg.png,straight jeans with frayed rips on both legs. High waisted. light blue color
processed_images_english/12b5b372f5acdfd1453cc155253ee201_nobg_nobg.png,palazzo jeans with large white frayed rips on both legs. faded black color
processed_images_english/c2460daf97cf89aba613e664c892a7bb_nobg_nobg.png,skinny jeans with symmetrical rips on both legs. Tight high waist. faded black color
processed_images_english/4598ddfe9331e8f4fb358b9447c4d61c_nobg_nobg.png,skinny jeans with very small rips on both knees. Low waist. black color
processed_images_english/28dbbccfaa2745a260ed7e3c03c8f986_nobg_nobg.png,skinny jeans with symmetrical white rips on both knees. High waisted. light blue color
processed_images_english/f350d73e8ab34474b9143c50f57f9628_nobg_nobg.png,skinny jeans with medium rips on both legs. Tight high waist. strong blue color
processed_images_english/e562f730e1cefed4f071f28220a6e32f_nobg_nobg.png,skinny jeans with small white rips. High waisted.faded light blue color
processed_images_english/b9b5487ce1bb95f44b155e26b83a0e98_nobg_nobg.png,skinny jeans with medium white frayed rips on both legs. Tight high waisted.strong blue color
processed_images_english/1159a51ee69e05ac918f19e328872c23_nobg_nobg.png,skinny jeans with symmetrical and frayed white rips on both legs High waisted. faded black color
processed_images_english/6d488006988b6c8980c07cd2115c4444_nobg_nobg.png,skinny jeans with symmetrical rips on both legs. Tight high waisted.light blue color
processed_images_english/4d2bb4556c56c296ab013a7db80f8a66_nobg_nobg.png,skinny jeans with frayed white rips on both legs. Tight high waisted.light blue color
processed_images_english/a3e97d4c2969e78fd1b62bcd55c18d72_nobg_nobg.png,skinny jeans with small rips on both legs. Tight high waisted.Burgundy color
