image,description
https://i.pinimg.com/736x/76/cc/29/76cc29d533e6fdd8e8ea03ba48408569.jpg,jean recto con roturas desmechadas grandes y bien abiertas en ambas piernas Tiro alto. Color celeste.
https://i.pinimg.com/736x/da/8f/f7/da8ff77220fbd27a4f7fb6b5ac9b5397.jpg,jean wide leg con roturas simetricas en ambas piernas Tiro alto apretado. Color azul desgastado o celeste fuerte.
https://i.pinimg.com/736x/fe/39/90/fe3990451568eb962184d0eea1c6c384.jpg,jean wide leg con roturas simetricas en ambas piernas Tiro alto apretado. Color celeste fuerte.
https://i.pinimg.com/736x/87/77/7c/87777c4a5330965c995e9de2c957fcc1.jpg,jean wide leg con roturas desmechadas en ambas piernas Tiro alto. Color azul claro o celeste fuerte.
https://i.pinimg.com/736x/96/70/80/967080e6721d386ffc60fde73b4d8a1c.jpg,jean wide leg con roturas desmechadas en ambas piernas Tiro alto. Color azul claro o celeste fuerte.
https://i.pinimg.com/474x/a3/70/57/a37057fed2f03096559c86d337919471.jpg,jean wide leg con roturas desmechadas en ambas piernas Tiro alto apretado. Color celeste claro.
https://i.pinimg.com/474x/57/77/c9/5777c9d3ba8d174f8527ab6d467f1292.jpg,jean wide leg con varias roturas desmechadas en ambas piernas Tiro alto apretado. Color celeste claro.
https://i.pinimg.com/474x/1f/22/51/1f2251e7524cf15a7c93ca0b6337c73e.jpg,jean wide leg con roturas desmechadas grandes y bien abiertas en ambas piernas Tiro alto apretado. Color celeste muy claro tirando a gris o blanco.
https://i.pinimg.com/474x/98/8a/28/988a28f4970362bf4507125f5a10588a.jpg,jean palazzo con roturas desmechadas en ambas piernas Tiro alto apretado. Color azul un poco destenido o celeste fuerte.
https://i.pinimg.com/736x/2a/b8/7a/2ab87a4bc3a7d622445dbd6c5849d800.jpg,jean wide leg con más de una rotura en ambas piernas Tiro alto apretado. Color celeste muy claro tirando a gris o blanco.
https://i.pinimg.com/474x/c7/dd/03/c7dd039c7d663985e3935f7b15249a7c.jpg,jean wide leg con más de una rotura en ambas piernas Tiro alto apretado. Color celeste desgastado.
https://i.pinimg.com/474x/5f/71/2c/5f712cad1405f8118bc2bc8a16de06c5.jpg,jean wide leg con más de una rotura en ambas piernas Tiro alto apretado. Color negro.
https://i.pinimg.com/474x/b2/cc/9c/b2cc9ce50ef9033bf86d561f9e16f862.jpg,jean wide leg con roturas desmechadas grandes y bien abiertas en ambas piernas Tiro alto apretado. Color negro.
https://i.pinimg.com/474x/a6/68/8d/a6688d68ef3c462fb1f8bed6c5a74f3c.jpg,"jean wide leg con roturas desmechadas grandes y bien abiertas en ambas piernas Tiro alto apretado. Color blanco, crema o beige."
https://i.pinimg.com/474x/19/0e/a6/190ea6f38f4cab827beab91ab3d51b36.jpg,jean wide leg con roturas desmechadas en ambas piernas Tiro alto apretado. Color azul.
https://i.pinimg.com/474x/5f/51/77/5f5177e1521ae677c379ca0957e5bc51.jpg,jean recto celeste con roturas simetricas desmechadas en ambas piernas Tiro alto apretado. Color celeste.
https://i.pinimg.com/474x/58/ca/00/58ca003b82d2ecaa32d9bdc41d1f4875.jpg,jean wide leg con muchas roturas desmechadas grandes y bien abiertas por ambas piernas como desgastado extremo Tiro alto. Color celeste claro.
https://i.pinimg.com/736x/e8/af/76/e8af7623dd4fdf0e18faeaa24e34ff81.jpg,jean wide leg con muchas roturas desmechadas grandes y bien abiertas por ambas piernas como desgastado extremo Tiro alto. Color azul desgastado o celeste fuerte.
https://i.pinimg.com/736x/74/87/dd/7487ddff40c7e2d6b3563c2c88a242a5.jpg,jean recto con muchas roturas desmechadas grandes y bien abiertas por ambas piernas como desgastado extremo Tiro alto. Color azul desgastado o celeste fuerte.
https://i.pinimg.com/474x/dd/67/25/dd672501f013e715067802e18cdae105.jpg,jean recto con muchas roturas desmechadas grandes y bien abiertas por ambas piernas como desgastado extremo Tiro alto. Color azul desgastado o celeste fuerte.
https://i.pinimg.com/736x/fa/a0/71/faa071673db724fff56d132b8638675a.jpg,jean wide leg con muchas roturas desmechadas grandes y bien abiertas en ambas piernas como desgastado extremo Tiro alto. Color celeste liso claro.
https://i.pinimg.com/736x/c0/93/23/c09323cd74d2c53266a119e67f30e37f.jpg,jean palazzo con roturas desmechadas en ambas piernas Tiro alto. Color azul desgastado.
https://i.pinimg.com/474x/93/36/3a/93363a048fcc17d689024a65fd2a356e.jpg,jean recto con roturas desmechadas en ambas piernas Tiro alto. Color celeste claro.
https://i.pinimg.com/736x/12/b5/b3/12b5b372f5acdfd1453cc155253ee201.jpg,jean palazzo con roturas blancas grandes desmechadas en ambas piernas Color negro desgastado.
https://i.pinimg.com/736x/54/c2/f7/54c2f784682a150c000f17439e81a3d6.jpg,jean wide leg con muchas roturas desmechadas grandes y bien abiertas en ambas piernas como desgastado extremo Tiro alto apretado. Color celeste.
https://i.pinimg.com/474x/d8/82/96/d88296cad780dea054db1d0eae34ee8a.jpg,jean wide leg con muchas roturas desmechadas blancas medianas y bien abiertas en ambas piernas como desgastado Tiro alto apretado. Color azul o celeste muy fuerte.
https://i.pinimg.com/474x/69/1d/a1/691da15c85e82cd6163781f6fec59cee.jpg,jean wide leg con muchas roturas blancas desmechadas grandes y bien abiertas en ambas piernas como desgastado extremo Tiro alto apretado. Color azul.
https://i.pinimg.com/474x/61/79/e5/6179e50858de0f7159515fb51173563f.jpg,jean wide leg con muchas roturas blancas desmechadas grandes y bien abiertas en ambas piernas como desgastado extremo Color celeste.
https://i.pinimg.com/474x/07/58/b2/0758b2d7d719e8d63736c277345b03e1.jpg,jean wide leg con roturas blancas desmechadas en ambas piernas como desgastado Color azul.
https://i.pinimg.com/736x/61/49/39/6149393f5648e6e2f34d30ca06f14b17.jpg,jean wide leg con roturas simetricas en ambas piernas Tiro alto apretado. Color negro desgastado.
https://i.pinimg.com/736x/f5/37/b3/f537b3d92d3eba7dfe8cde8777a3f936.jpg,jean wide leg con roturas simetricas en ambas piernas Tiro alto apretado. Color negro liso.
https://i.pinimg.com/736x/c2/46/0d/c2460daf97cf89aba613e664c892a7bb.jpg,jean skinny con roturas simetricas en ambas piernas Tiro alto apretado. Color negro desgastado.
