image,description
https://i.pinimg.com/736x/76/cc/29/76cc29d533e6fdd8e8ea03ba48408569.jpg,"un jean recto celeste con roturas desmechadas grandes y bien abiertas en ambas piernas"
https://i.pinimg.com/736x/da/8f/f7/da8ff77220fbd27a4f7fb6b5ac9b5397.jpg,"un jean wide leg azul con roturas simetricas en ambas piernas"
https://i.pinimg.com/736x/fe/39/90/fe3990451568eb962184d0eea1c6c384.jpg,"un jean wide leg azul con roturas simetricas en ambas piernas"
https://i.pinimg.com/736x/87/77/7c/87777c4a5330965c995e9de2c957fcc1.jpg,"un jean wide leg azul claro con roturas desmechadas en ambas piernas"
https://i.pinimg.com/736x/96/70/80/967080e6721d386ffc60fde73b4d8a1c.jpg,"un jean wide leg azul claro con roturas desmechadas en ambas piernas"
https://i.pinimg.com/474x/a3/70/57/a37057fed2f03096559c86d337919471.jpg,"un jean wide leg azul claro con roturas desmechadas en ambas piernas"
https://i.pinimg.com/474x/57/77/c9/5777c9d3ba8d174f8527ab6d467f1292.jpg,"un jean wide leg azul claro con varias roturas desmechadas en ambas piernas"
https://i.pinimg.com/474x/1f/22/51/1f2251e7524cf15a7c93ca0b6337c73e.jpg,"un jean wide leg celeste claro con roturas desmechadas grandes y bien abiertas en ambas piernas"
https://i.pinimg.com/474x/98/8a/28/988a28f4970362bf4507125f5a10588a.jpg,"un jean palazzo azul con roturas desmechadas en ambas piernas"
https://i.pinimg.com/736x/2a/b8/7a/2ab87a4bc3a7d622445dbd6c5849d800.jpg,"un jean wide leg celeste claro con más de una rotura en ambas piernas"
https://i.pinimg.com/474x/c7/dd/03/c7dd039c7d663985e3935f7b15249a7c.jpg,"un jean wide leg celeste con más de una rotura en ambas piernas"
https://i.pinimg.com/474x/5f/71/2c/5f712cad1405f8118bc2bc8a16de06c5.jpg,"un jean wide leg negro con más de una rotura en ambas piernas"
https://i.pinimg.com/474x/b2/cc/9c/b2cc9ce50ef9033bf86d561f9e16f862.jpg,"un jean wide leg negro con roturas desmechadas grandes y bien abiertas en ambas piernas"
https://i.pinimg.com/474x/a6/68/8d/a6688d68ef3c462fb1f8bed6c5a74f3c.jpg,"un jean wide leg blanco con roturas desmechadas grandes y bien abiertas en ambas piernas"
https://i.pinimg.com/474x/19/0e/a6/190ea6f38f4cab827beab91ab3d51b36.jpg,"un jean wide leg azul con roturas desmechadas en ambas piernas"
https://i.pinimg.com/474x/5f/51/77/5f5177e1521ae677c379ca0957e5bc51.jpg,"un jean recto celeste con roturas simetricas desmechadas en ambas piernas"
https://i.pinimg.com/474x/58/ca/00/58ca003b82d2ecaa32d9bdc41d1f4875.jpg,"un jean wide leg celeste con muchas roturas desmechadas grandes y bien abiertas por ambas piernas como desgastado extremo"
https://i.pinimg.com/736x/e8/af/76/e8af7623dd4fdf0e18faeaa24e34ff81.jpg,"un jean wide leg celeste con muchas roturas desmechadas grandes y bien abiertas por ambas piernas como desgastado extremo"
https://i.pinimg.com/736x/74/87/dd/7487ddff40c7e2d6b3563c2c88a242a5.jpg,"un jean recto celeste con muchas roturas desmechadas grandes y bien abiertas por ambas piernas como desgastado extremo"
https://i.pinimg.com/474x/dd/67/25/dd672501f013e715067802e18cdae105.jpg,"un jean recto celeste con muchas roturas desmechadas grandes y bien abiertas por ambas piernas como desgastado extremo"
https://i.pinimg.com/736x/fa/a0/71/faa071673db724fff56d132b8638675a.jpg,"un jean wide leg celeste con muchas roturas desmechadas grandes y bien abiertas en ambas piernas como desgastado extremo"
https://i.pinimg.com/736x/c0/93/23/c09323cd74d2c53266a119e67f30e37f.jpg,"un jean wide leg azul con roturas desmechadas en ambas piernas"
https://i.pinimg.com/474x/93/36/3a/93363a048fcc17d689024a65fd2a356e.jpg,"un jean recto azul con roturas desmechadas en ambas piernas"
https://i.pinimg.com/736x/12/b5/b3/12b5b372f5acdfd1453cc155253ee201.jpg,"un jean wide leg negro desgastado con roturas grandes desmechadas en ambas piernas"
https://i.pinimg.com/736x/54/c2/f7/54c2f784682a150c000f17439e81a3d6.jpg,"un jean wide leg celeste con muchas roturas desmechadas grandes y bien abiertas en ambas piernas como desgastado extremo"
https://i.pinimg.com/474x/d8/82/96/d88296cad780dea054db1d0eae34ee8a.jpg,"un jean wide leg azul con muchas roturas desmechadas medianas y bien abiertas en ambas piernas como desgastado"
https://i.pinimg.com/474x/69/1d/a1/691da15c85e82cd6163781f6fec59cee.jpg,"un jean wide leg azul con muchas roturas desmechadas grandes y bien abiertas en ambas piernas como desgastado extremo"
https://i.pinimg.com/474x/61/79/e5/6179e50858de0f7159515fb51173563f.jpg,"un jean wide leg celeste con muchas roturas desmechadas grandes y bien abiertas en ambas piernas como desgastado extremo"
https://i.pinimg.com/474x/07/58/b2/0758b2d7d719e8d63736c277345b03e1.jpg,"un jean wide leg azul con roturas desmechadas en ambas piernas como desgastado"
https://i.pinimg.com/736x/61/49/39/6149393f5648e6e2f34d30ca06f14b17.jpg,"un jean wide leg negro con roturas simetricas en ambas piernas"
https://i.pinimg.com/736x/f5/37/b3/f537b3d92d3eba7dfe8cde8777a3f936.jpg,"un jean wide leg negro con roturas simetricas en ambas piernas"
https://i.pinimg.com/736x/c2/46/0d/c2460daf97cf89aba613e664c892a7bb.jpg,"un jean skinny negro con roturas simetricas en ambas piernas"
https://i.pinimg.com/474x/2f/27/63/2f27638f10f244f9e87fc7df3803b994.jpg,"un jean skinny negro con roturas simetricas en ambas piernas"
https://i.pinimg.com/474x/7b/6e/ed/7b6eed31b9b089bb38324a4979963bce.jpg,"un jean skinny celeste con roturas simetricas en ambas piernas"
https://i.pinimg.com/474x/f3/50/d7/f350d73e8ab34474b9143c50f57f9628.jpg,"un jean skinny azul con roturas medianas en ambas piernas"
https://i.pinimg.com/736x/51/33/ca/5133ca177c89a74db89e31f7f319872d.jpg,"un jean skinny azul desgastado con roturas medianas en ambas piernas"
https://i.pinimg.com/474x/b9/b5/48/b9b5487ce1bb95f44b155e26b83a0e98.jpg,"un jean skinny azul con roturas desmechadas medianas en ambas piernas"
