image,description,tags,task
processed_images_roturas\76cc29d533e6fdd8e8ea03ba48408569_nobg.png,jean recto con roturas desmechadas grandes y bien abiertas en ambas piernas. Tiro alto. Color celeste.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\988a28f4970362bf4507125f5a10588a_nobg.png,jean palazzo con roturas desmechadas en ambas piernas. Tiro alto apretado. Color azul un poco destenido o celeste fuerte.,"Tipo jean: roturas, palazzo",roturas
processed_images_roturas\5f5177e1521ae677c379ca0957e5bc51_nobg.png,jean recto celeste con roturas simetricas desmechadas en ambas piernas. Tiro alto apretado. Color celeste.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\c09323cd74d2c53266a119e67f30e37f_nobg.png,jean palazzo con roturas desmechadas en ambas piernas. Tiro alto. Color azul desgastado.,"Tipo jean: roturas, palazzo",roturas
processed_images_roturas\93363a048fcc17d689024a65fd2a356e_nobg.png,jean recto con roturas desmechadas en ambas piernas. Tiro alto. Color celeste claro.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\12b5b372f5acdfd1453cc155253ee201_nobg.png,jean palazzo con roturas blancas grandes desmechadas en ambas piernas. Color negro desgastado.,"Tipo jean: roturas, palazzo",roturas
processed_images_roturas\c2460daf97cf89aba613e664c892a7bb_nobg.png,jean skinny con roturas simetricas en ambas piernas. Tiro alto apretado. Color negro desgastado.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\4598ddfe9331e8f4fb358b9447c4d61c_nobg.png,jean skinny con roturas muy chicas en ambas rodillas. Tiro bajo. Color negro.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\28dbbccfaa2745a260ed7e3c03c8f986_nobg.png,jean skinny con roturas blancas simetricas en ambas rodillas. Tiro alto. Color celeste.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\f350d73e8ab34474b9143c50f57f9628_nobg.png,jean skinny con roturas medianas en ambas piernas. Tiro alto apretado. Color azul fuerte.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\e562f730e1cefed4f071f28220a6e32f_nobg.png,jean skinny con roturas blancas chicas. Tiro alto. Color celeste desgastado.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\b9b5487ce1bb95f44b155e26b83a0e98_nobg.png,jean skinny con roturas blancas desmechadas medianas en ambas piernas. Tiro alto apretado. Color azul fuerte.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\1159a51ee69e05ac918f19e328872c23_nobg.png,jean skinny con roturas blancas simetricas y desmechadas en ambas piernas. Tiro alto. Color negro desgastado.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\6d488006988b6c8980c07cd2115c4444_nobg.png,jean skinny con roturas simetricas en ambas piernas. Tiro alto apretado. Color celeste.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\4d2bb4556c56c296ab013a7db80f8a66_nobg.png,jean skinny con roturas blancas desmechadas en ambas piernas. Tiro alto apretado. Color celeste claro.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\a3e97d4c2969e78fd1b62bcd55c18d72_nobg.png,jean skinny con roturas chicas en ambas piernas. Tiro alto apretado. Color bordo.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\12a79c339c27fe03fa6a87a8cb020ab0_nobg.png,jean skinny con roturas blancas desmechadas en ambas piernas como desgastado extremo. Tiro alto apretado. Color azul.,"Tipo jean: roturas, skinny",roturas
