image,description
https://i.pinimg.com/736x/76/cc/29/76cc29d533e6fdd8e8ea03ba48408569.jpg,straight jeans with large frayed and wide-open rips on both legs. high-waisted. light blue color.
https://i.pinimg.com/474x/98/8a/28/988a28f4970362bf4507125f5a10588a.jpg,palazzo jeans with frayed rips on both legs. tight high waist. faded blue or strong light blue color.
https://i.pinimg.com/474x/5f/51/77/5f5177e1521ae677c379ca0957e5bc51.jpg,straight light blue jeans with symmetrical frayed rips on both legs. tight high waist. light blue color.
https://i.pinimg.com/736x/c0/93/23/c09323cd74d2c53266a119e67f30e37f.jpg,palazzo jeans with frayed rips on both legs. high waisted. faded blue color
https://i.pinimg.com/474x/93/36/3a/93363a048fcc17d689024a65fd2a356e.jpg,straight jeans with frayed rips on both legs high waisted light blue color
https://i.pinimg.com/736x/12/b5/b3/12b5b372f5acdfd1453cc155253ee201.jpg,palazzo jeans with large white frayed rips on both legs faded black color
https://i.pinimg.com/736x/c2/46/0d/c2460daf97cf89aba613e664c892a7bb.jpg,skinny jeans with symmetrical rips on both legs tight high waist faded black color
https://i.pinimg.com/736x/45/98/dd/4598ddfe9331e8f4fb358b9447c4d61c.jpg,skinny jeans with very small rips on both knees Low waist black color
https://i.pinimg.com/736x/28/db/bc/28dbbccfaa2745a260ed7e3c03c8f986.jpg,skinny jeans with symmetrical white rips on both knees high waisted light blue color
https://i.pinimg.com/474x/f3/50/d7/f350d73e8ab34474b9143c50f57f9628.jpg,skinny jeans with medium rips on both legs tight high waist strong blue color
https://i.pinimg.com/736x/e5/62/f7/e562f730e1cefed4f071f28220a6e32f.jpg,skinny jeans with small white rips high waisted faded light blue color
https://i.pinimg.com/474x/b9/b5/48/b9b5487ce1bb95f44b155e26b83a0e98.jpg,skinny jeans with medium white frayed rips on both legs tight high waist strong blue color
https://i.pinimg.com/736x/11/59/a5/1159a51ee69e05ac918f19e328872c23.jpg,skinny jeans with symmetrical and frayed white rips on both legs high waisted faded black color
https://i.pinimg.com/474x/6d/48/80/6d488006988b6c8980c07cd2115c4444.jpg,skinny jeans with symmetrical rips on both legs tight high waist light blue color
